arm	exchange_id	profiles	location_spread	mean_width	max_width	constant_across_profiles	all_fixed_within_profile
magnitude_g1.00	EX_4abut_e	47	9.721135924100425e-09	4.892310365332352e-09	1.9517751694007472e-08	True	True
magnitude_g1.00	EX_4hbz_e	47	1.90306746555326e-09	1.0651281489644433e-09	4.362006993031124e-09	True	True
magnitude_g1.00	EX_L2aadp_e	47	3.1795864334071464e-09	1.5445917285394815e-09	6.380714481125422e-09	True	True
magnitude_g1.00	EX_Lkynr_e	47	8.443731251519159e-09	3.975176778155178e-09	1.6941880871917136e-08	True	True
magnitude_g1.00	EX_acac_e	47	3.2393565459441446e-08	8.86837025729446e-09	6.48675331476738e-08	True	True
magnitude_g1.00	EX_ade_e	47	3.6132394952945104e-10	1.8684847383487186e-10	7.252870050710234e-10	True	True
magnitude_g1.00	EX_adn_e	47	3.019234334848606e-10	1.4955693404625772e-10	6.058824956659307e-10	True	True
magnitude_g1.00	EX_ahcys_e	47	2.9431674649155057e-10	1.4083268633395417e-10	5.90632761590843e-10	True	True
magnitude_g1.00	EX_akg_e	47	8.874514911975148e-08	2.6442719023382524e-08	1.7781529757047476e-07	True	True
magnitude_g1.00	EX_ala__L_e	47	3.2840058798531366	5.230224896394927e-07	8.335162037909072e-06	False	True
magnitude_g1.00	EX_amp_e	47	3.043540661387015e-10	1.5259961659087993e-10	6.107566474111748e-10	True	True
magnitude_g1.00	EX_anth_e	47	6.211569642376551e-09	2.956758285091569e-09	1.2462966669070623e-08	True	True
magnitude_g1.00	EX_arg__L_e	47	3.590330588387758e-08	2.0794521296374964e-08	7.721574857288971e-08	True	True
magnitude_g1.00	EX_asn__L_e	47	4.599010571693025	6.890566143579356e-07	4.079837298220923e-06	False	True
magnitude_g1.00	EX_asp__L_e	47	4.675188680636211e-08	4.7869406953704214e-08	1.6709018324512215e-07	True	True
magnitude_g1.00	EX_bilirub_e	47	3.578661246196869e-10	1.963930383309737e-10	7.177065807804628e-10	True	True
magnitude_g1.00	EX_cala_e	47	8.931856896643862e-10	4.5809986655749317e-10	1.7928286970524932e-09	True	True
magnitude_g1.00	EX_chol_e	47	0.04417997813904895	8.72271531127831e-08	1.5945465307587448e-06	False	True
magnitude_g1.00	EX_cholp_e	47	2.1242856277128846e-09	1.0515654301821754e-09	4.262690696556191e-09	True	True
magnitude_g1.00	EX_cit_e	47	0.897711528860549	5.412410116095386e-08	4.806725888428787e-07	False	True
magnitude_g1.00	EX_citr__L_e	47	1.4374464947237285e-08	7.22482381975155e-09	2.895093782852139e-08	True	True
magnitude_g1.00	EX_cmp_e	47	3.7520752618204107e-10	1.9503307249469427e-10	7.504150523640821e-10	True	True
magnitude_g1.00	EX_crn_e	47	1.273871033673502e-08	6.084559519225961e-09	2.5550253117285325e-08	True	True
magnitude_g1.00	EX_cyst__L_e	47	1.2371222341095182e-09	6.064701000839872e-10	2.482859547802073e-09	True	True
magnitude_g1.00	EX_cytd_e	47	5.469213128811177e-10	2.797456592483914e-10	1.0977381206729287e-09	True	True
magnitude_g1.00	EX_dad_2_e	47	3.187122324025092e-10	1.5783828437030235e-10	6.395923774021323e-10	True	True
magnitude_g1.00	EX_dcmp_e	47	4.579866363077443e-10	2.2568015288176326e-10	9.190420476624794e-10	True	True
magnitude_g1.00	EX_dcyt_e	47	5.279100047685834e-10	2.602259853702266e-10	1.0593915894484513e-09	True	True
magnitude_g1.00	EX_dhap_e	47	1.7038252730927215e-09	8.350093984769629e-10	3.4191659113533784e-09	True	True
magnitude_g1.00	EX_dmgly_e	47	2.1386049745703847e-09	1.0623310491239881e-09	4.294264976692607e-09	True	True
magnitude_g1.00	EX_duri_e	47	5.527698554011724e-10	2.8191106636214034e-10	1.1095622329174266e-09	True	True
magnitude_g1.00	EX_ethamp_e	47	2.539687769842413e-09	1.1873126297102999e-09	5.096761601753463e-09	True	True
magnitude_g1.00	EX_fol_e	47	4.391078496524829e-08	2.578625289971546e-08	8.814735524042374e-08	True	True
magnitude_g1.00	EX_fum_e	47	0.32785978240864855	8.754166439199329e-07	1.964806630522231e-05	False	False
magnitude_g1.00	EX_g3pc_e	47	1.591596866257124e-09	8.002520424631847e-10	3.1953247554844494e-09	True	True
magnitude_g1.00	EX_glc__D_e	47	3.7443896871991456e-09	1.7762939488091704e-09	7.513380140267145e-09	True	True
magnitude_g1.00	EX_glcur_e	47	6.5549196221038275e-09	3.232946790042412e-09	1.3152953187986673e-08	True	True
magnitude_g1.00	EX_gln__L_e	47	4.4009860304046455	9.063139461849332e-07	2.2228855787842505e-05	False	False
magnitude_g1.00	EX_glu__L_e	47	5.8164436620626505	1.4632447966480934e-06	2.727492638676665e-05	False	False
magnitude_g1.00	EX_gly_e	47	0.1325399623936423	5.10848702219279e-07	1.001451365123529e-05	False	False
magnitude_g1.00	EX_glyald_e	47	5.180004670079382e-09	2.523710658063028e-09	1.0411458619782754e-08	True	True
magnitude_g1.00	EX_glyb_e	47	9.726707385281118e-09	4.74289837316409e-09	1.9517856238911837e-08	True	True
magnitude_g1.00	EX_glyc3p_e	47	1.6411934776750341e-09	8.15727501393862e-10	3.294625350123986e-09	True	True
magnitude_g1.00	EX_gmp_e	47	3.249104505908707e-10	1.528343658801016e-10	6.498209011817414e-10	True	True
magnitude_g1.00	EX_gthox_e	47	8.826611105251213e-09	4.50740321613702e-09	1.7714152893496544e-08	True	True
magnitude_g1.00	EX_hcys__L_e	47	1.5180447794057527e-09	7.923344328260712e-10	3.0481995270704977e-09	True	True
magnitude_g1.00	EX_hom__L_e	47	3.9286745473953013e-32	-7.875462380600934e-34	1.487146448815108e-32	True	True
magnitude_g1.00	EX_hxan_e	47	4.265935168965784e-10	2.3172620842781972e-10	8.561093334502412e-10	True	True
magnitude_g1.00	EX_icit_e	47	7.204280699260663e-08	2.997258962375219e-08	1.4449539518533168e-07	True	True
magnitude_g1.00	EX_ile__L_e	47	3.1951274070962654e-08	1.7317302499787776e-08	6.421665543765442e-08	True	True
magnitude_g1.00	EX_imp_e	47	3.346493227592583e-10	1.6471190818359344e-10	6.715422486487395e-10	True	True
magnitude_g1.00	EX_ins_e	47	3.382113151234706e-10	1.6993426836139212e-10	6.787491612972019e-10	True	True
magnitude_g1.00	EX_lac__L_e	47	7.431498572919269	1.4436548186111811e-06	1.2233967568775483e-05	False	False
magnitude_g1.00	EX_lcts_e	47	1.0676554434719539e-09	5.631140489993956e-10	2.1507011443465596e-09	True	True
magnitude_g1.00	EX_leu__L_e	47	3.221489830451674e-08	1.745666269456669e-08	6.467129387566217e-08	True	True
magnitude_g1.00	EX_lys__L_e	47	3.71747690408597e-08	2.0092968759271307e-08	7.46618049607406e-08	True	True
magnitude_g1.00	EX_mal__L_e	47	7.4040232893979665	1.6129295576202234e-06	2.2506492973750625e-05	False	False
magnitude_g1.00	EX_met__L_e	47	3.194781889037657e-08	1.7317294014849255e-08	6.421689852098567e-08	True	True
magnitude_g1.00	EX_nac_e	47	7.1445941983799595e-09	3.337109885647421e-09	1.4334196113371612e-08	True	True
magnitude_g1.00	EX_ncam_e	47	2.9785752552998648e-08	1.5591117760249556e-08	5.980798254518387e-08	True	True
magnitude_g1.00	EX_nicrnt_e	47	8.834107478136217e-10	4.3577760167366444e-10	1.7728340143879759e-09	True	True
magnitude_g1.00	EX_orn_e	47	1.5847472988113525e-08	8.463777272404096e-09	3.180677849387618e-08	True	True
magnitude_g1.00	EX_orot5p_e	47	5.022949856773038e-10	2.5316121373172545e-10	1.0081280784224175e-09	True	True
magnitude_g1.00	EX_orot_e	47	1.0964688749234445e-09	5.404077101673763e-10	2.2003533977864217e-09	True	True
magnitude_g1.00	EX_oxa_e	47	3.806012511999693e-09	1.8864184055336386e-09	7.638294521148675e-09	True	True
magnitude_g1.00	EX_pep_e	47	2.5811236354298304e-09	1.2847237719294825e-09	5.183170962138885e-09	True	True
magnitude_g1.00	EX_phe__L_e	47	3.6964894034596796e-08	1.8595651350912424e-08	7.418106401368973e-08	True	True
magnitude_g1.00	EX_pnto__R_e	47	2.5635447137102163e-08	1.3945124957018521e-08	5.603853393061271e-08	True	True
magnitude_g1.00	EX_pro__L_e	47	2.716402081048841e-08	2.019353291910769e-08	7.593372974845636e-08	True	True
magnitude_g1.00	EX_quln_e	47	2.248073297884636e-09	1.1776566186300149e-09	4.5156034086939055e-09	True	True
magnitude_g1.00	EX_sbt__D_e	47	2.644105216148681e-10	5.170042769916119e-11	5.288210432297362e-10	True	True
magnitude_g1.00	EX_ser__L_e	47	1.8647934751925277e-08	7.638533701540528e-09	3.739068432651038e-08	True	True
magnitude_g1.00	EX_spmd_e	47	6.147714366889862e-10	4.682894405480002e-10	1.3031192249801951e-09	True	True
magnitude_g1.00	EX_sprm_e	47	3.3886275911300234e-10	2.1967824940526016e-10	6.799502271476834e-10	True	True
magnitude_g1.00	EX_srtn_e	47	7.831529023482348e-09	3.8316283665411e-09	1.5729436189903554e-08	True	True
magnitude_g1.00	EX_succ_e	47	3.181944580739648	9.86749814812587e-07	1.9945768836571176e-05	False	False
magnitude_g1.00	EX_sucr_e	47	2.8863456596042636e-10	1.3092355028576026e-10	5.77269131920851e-10	True	True
magnitude_g1.00	EX_taur_e	47	4.7605491233822475e-09	2.3194195460551712e-09	9.552857745651702e-09	True	True
magnitude_g1.00	EX_tchola_e	47	8.795510845700341e-10	6.692637047872947e-10	1.773642867476595e-09	True	True
magnitude_g1.00	EX_thr__L_e	47	3.1986033599551433e-08	1.7327074607260873e-08	6.421549469948218e-08	True	True
magnitude_g1.00	EX_thym_e	47	6.854916165997425e-10	3.364686116353113e-10	1.375575711451224e-09	True	True
magnitude_g1.00	EX_thymd_e	47	4.770768492036917e-10	2.392988514283196e-10	9.57551324218852e-10	True	True
magnitude_g1.00	EX_trp__L_e	47	3.19885152533228e-08	1.7308253183010177e-08	6.421726700747699e-08	True	True
magnitude_g1.00	EX_tyr__L_e	47	1.7679732011721683e-08	2.5918794207806563e-08	9.933009048612718e-08	True	True
magnitude_g1.00	EX_ump_e	47	3.5269581319620617e-10	2.483709858190396e-10	7.096476616939709e-10	True	True
magnitude_g1.00	EX_ura_e	47	9.394166664351414e-10	4.6008622880509523e-10	1.8850720876151605e-09	True	True
magnitude_g1.00	EX_urate_e	47	4.440032516012133e-10	2.2171310327957192e-10	8.908681406241355e-10	True	True
magnitude_g1.00	EX_uri_e	47	5.886161523109801e-10	2.9033496965402176e-10	1.1812692705618325e-09	True	True
