arm	exchange_id	profiles	location_spread	mean_width	max_width	constant_across_profiles	all_fixed_within_profile
magnitude_g1.00	EX_glyald_e	47	3.3341241702524855e-09	2.3725839688646638e-09	6.716265305305241e-09	True	True
magnitude_g1.00	EX_glyb_e	47	5.815213250223619e-09	4.340459093208229e-09	1.1694202657942333e-08	True	True
magnitude_g1.00	EX_glyc3p_e	47	1.0637620760442575e-09	7.600088910092636e-10	2.1389185667045893e-09	True	True
magnitude_g1.00	EX_gmp_e	47	2.4978852398833306e-10	1.7512930557686997e-10	5.020865313089147e-10	True	True
magnitude_g1.00	EX_gthox_e	47	1.2984395964323508e-08	9.136327366756862e-09	2.6080626529857358e-08	True	True
magnitude_g1.00	EX_hcys__L_e	47	9.39308793874715e-10	7.6256127916086e-10	1.8974353892809397e-09	True	True
magnitude_g1.00	EX_hom__L_e	47	1.4610462235922716e-15	6.21721797273307e-17	2.9220924471845433e-15	True	True
magnitude_g1.00	EX_hxan_e	47	3.0188103944750366e-10	2.197561106664139e-10	6.0708609845897e-10	True	True
magnitude_g1.00	EX_icit_e	47	6.510654120856764e-08	2.982005672480033e-08	1.3059166936750608e-07	True	True
magnitude_g1.00	EX_ile__L_e	47	2.3832724904693237e-08	1.6687800840950155e-08	4.801543207477721e-08	True	True
magnitude_g1.00	EX_imp_e	47	2.1782815742553575e-10	1.537892494331811e-10	4.377880313904315e-10	True	True
magnitude_g1.00	EX_ins_e	47	2.247196719583304e-10	1.587921734382057e-10	4.516220004459927e-10	True	True
magnitude_g1.00	EX_lac__L_e	47	7.80657199702779	1.0950215938915799e-06	1.4190445252637574e-05	False	False
magnitude_g1.00	EX_lcts_e	47	7.2604916628266e-10	5.453765390201613e-10	1.4677935569993015e-09	True	True
magnitude_g1.00	EX_leu__L_e	47	2.3889488165451667e-08	1.6814600851158173e-08	4.8016490450386584e-08	True	True
magnitude_g1.00	EX_lys__L_e	47	2.567524581831293e-08	1.908728419055208e-08	5.164624461428957e-08	True	True
magnitude_g1.00	EX_mal__L_e	47	5.031210742659745	1.0265036033159446e-06	8.060745531501823e-06	False	True
magnitude_g1.00	EX_met__L_e	47	2.3856312370007515e-08	1.6699231034621145e-08	4.801476227722645e-08	True	True
magnitude_g1.00	EX_nac_e	47	4.421063539380098e-09	3.1139085914853175e-09	8.884171050799044e-09	True	True
magnitude_g1.00	EX_ncam_e	47	1.964350697871903e-08	1.4591180391668871e-08	3.9508209790931516e-08	True	True
magnitude_g1.00	EX_nicrnt_e	47	5.714860274068941e-10	4.048098060087507e-10	1.1486820717084193e-09	True	True
magnitude_g1.00	EX_orn_e	47	1.2380552157812427e-08	8.106824895648967e-09	2.487479438191724e-08	True	True
magnitude_g1.00	EX_orot5p_e	47	3.279544482433586e-10	2.3617279181185253e-10	6.592664438165016e-10	True	True
magnitude_g1.00	EX_orot_e	47	7.190897410750054e-10	5.027627463310753e-10	1.4453440989926906e-09	True	True
magnitude_g1.00	EX_oxa_e	47	2.4318645026747192e-09	1.7582722125203774e-09	4.889203517478381e-09	True	True
magnitude_g1.00	EX_pep_e	47	1.6564437435184208e-09	1.19442048247782e-09	3.332572600339989e-09	True	True
magnitude_g1.00	EX_phe__L_e	47	2.679669830474296e-08	1.8001096762135296e-08	5.383132817282643e-08	True	True
magnitude_g1.00	EX_pnto__R_e	47	1.662155415420545e-08	1.3314227372470628e-08	3.599014328984972e-08	True	True
