scenario	context	arm	recorded_optimum	recomputed	relative
lower_task	RE:A498	magnitude_g1.00	436.0730413204205	436.07304185649343	1.229319162703362e-09
lower_task	RE:A498	ordinal	217.62961091536437	217.62961123299402	1.4594965022197666e-09
lower_task	OV:OVCAR-4	magnitude_g1.00	425.78609576315836	425.7860962889448	1.2348605379591932e-09
lower_task	OV:OVCAR-4	magnitude_g2.00	452.9819820333957	452.9819825863773	1.2207584657685032e-09
lower_task	OV:OVCAR-4	magnitude_g0.80	419.6285555718278	419.6285560914567	1.238306776366644e-09
lower_task	OV:OVCAR-4	ordinal	217.1714710713155	217.17147138848676	1.460464714891468e-09
lower_task	OV:OVCAR-4	magnitude_g0.50	409.92695786417545	409.9269583741024	1.2439459105936005e-09
lower_task	OV:OVCAR-4	magnitude_g1.25	433.1818080221735	433.1818085553555	1.2308502728406215e-09
lower_task	CNS:SF-295	magnitude_g2.00	460.6610938080926	460.661094368754	1.2170800335628516e-09
lower_task	CNS:SF-295	ordinal	226.81421381532272	226.8142141421369	1.4408893634081349e-09
lower_task	CNS:SF-295	magnitude_g0.80	430.5961917916742	430.5961923222702	1.232235760318978e-09
lower_task	CNS:SF-295	magnitude_g0.50	421.47300560342524	421.47300612489823	1.2372631015113953e-09
lower_task	CNS:SF-295	magnitude_g1.00	436.26724158072795	436.2672421169957	1.229218463634592e-09
lower_task	CNS:SF-295	magnitude_g1.25	443.05219243439524	443.0521929774473	1.2257067600333167e-09
primary	ME:UACC-62	magnitude_g2.00	1036.4176951616412	1036.417696298059	1.0964862216234107e-09
primary	ME:UACC-62	magnitude_g1.00	1002.854849259075	1002.8548503619273	1.0997128514559766e-09
primary	ME:UACC-62	ordinal	752.073798736834	752.0737995889081	1.1329660683142158e-09
primary	ME:UACC-62	magnitude_g0.50	984.2255140618729	984.2255151460979	1.101602213514636e-09
primary	ME:UACC-62	magnitude_g1.25	1011.8064798741468	1011.8064809859535	1.098833328694347e-09
primary	ME:UACC-62	magnitude_g0.80	995.4935307561437	995.493531851637	1.1004524583404303e-09
primary	ME:SK-MEL-2	ordinal	762.0549347236192	762.0549355856742	1.1312242255786323e-09
primary	ME:SK-MEL-2	magnitude_g2.00	1039.1350729554604	1039.135074094597	1.0962354044720113e-09
primary	ME:SK-MEL-2	magnitude_g0.50	986.6451575789749	986.6451586656194	1.101352882362423e-09
primary	ME:SK-MEL-2	magnitude_g1.00	1005.661009757232	1005.6610108628927	1.0994367360503102e-09
primary	ME:SK-MEL-2	magnitude_g1.25	1014.6227415850396	1014.6227426996612	1.0985576438345434e-09
primary	ME:SK-MEL-2	magnitude_g0.80	998.1868024825158	998.1868035807024	1.1001815044276663e-09
lower_task	ME:SK-MEL-28	magnitude_g0.50	418.1394643281016	418.1394648462407	1.2391537249161683e-09
lower_task	ME:SK-MEL-28	magnitude_g1.25	439.86254614054724	439.8625466804097	1.2273435738781968e-09
lower_task	ME:SK-MEL-28	magnitude_g2.00	458.0686720621693	458.06867262023815	1.2183082626233154e-09
lower_task	ME:SK-MEL-28	magnitude_g0.80	427.42762064097593	427.42762116840345	1.2339574966662491e-09
lower_task	ME:SK-MEL-28	ordinal	251.77704525919762	251.77704561097482	1.3971774216371917e-09
lower_task	ME:SK-MEL-28	magnitude_g1.00	433.1996447260871	433.19964525928674	1.230840402083189e-09
half_serum	RE:ACHN	magnitude_g0.80	389.5536204050735	389.55362089462716	1.256704162499729e-09
half_serum	RE:ACHN	magnitude_g1.25	402.8223966356061	402.8223971384286	1.2482486228604366e-09
half_serum	RE:ACHN	magnitude_g0.50	379.47667425407536	379.4766747335521	1.2635209796329035e-09
half_serum	RE:ACHN	magnitude_g1.00	395.75131007076055	395.7513105665115	1.2526830374588916e-09
half_serum	RE:ACHN	ordinal	207.39667025784496	207.39667056524172	1.4821682532720975e-09
half_serum	RE:ACHN	magnitude_g2.00	421.33373286715164	421.33373338848537	1.2373415444150859e-09
primary	ME:SK-MEL-28	magnitude_g1.25	1011.7569319568773	1011.7569330686334	1.0988371381667167e-09
primary	ME:SK-MEL-28	magnitude_g0.50	982.9097126297581	982.9097137126682	1.1017391414576054e-09
primary	ME:SK-MEL-28	ordinal	803.3584054244358	803.3584063277942	1.1244775041964434e-09
primary	ME:SK-MEL-28	magnitude_g1.00	1002.4203009406355	1002.4203020430565	1.0997592895698167e-09
primary	ME:SK-MEL-28	magnitude_g2.00	1037.2497458961852	1037.2497470334347	1.0964085168453023e-09
primary	ME:SK-MEL-28	magnitude_g0.80	994.722295027651	994.7222961223722	1.1005295260193146e-09
half_serum	RE:CAKI-1	magnitude_g1.00	394.4348979156177	394.4348984100526	1.2535273043971024e-09
