scenario	context	vector_from_arm	scored_against_arm	regret	within_primary_cap	within_secondary_cap	cost_under_target	target_optimum	target_cap
half_serum	BR:T-47D	magnitude_g1.00	magnitude_g1.25	0.00013247384836215036	0	0	407.7002220132042	407.6462195497302	407.6462200573764
half_serum	BR:T-47D	magnitude_g1.00	magnitude_g2.00	0.004836716496735878	0	0	428.53647772330186	426.47374512483185	426.4737456513056
half_serum	BR:T-47D	magnitude_g1.00	ordinal	0.13510664953906631	0	1	241.8897562503067	213.09870429226282	213.09870460536152
half_serum	BR:T-47D	magnitude_g1.25	magnitude_g0.50	0.0024003920341913107	0	1	384.0530723302833	383.1334019641759	383.1334024473093
half_serum	BR:T-47D	magnitude_g1.25	magnitude_g0.80	0.0009214370577714226	0	1	393.8241706864428	393.46162056844025	393.4616210619019
half_serum	BR:T-47D	magnitude_g1.25	magnitude_g1.00	0.000334061144599218	0	1	400.10595395252926	399.97233873524334	399.9723392352157
half_serum	BR:T-47D	magnitude_g1.25	magnitude_g1.25	1.2453106473048395e-09	1	1	407.64622005737635	407.6462195497302	407.6462200573764
half_serum	BR:T-47D	magnitude_g1.25	magnitude_g2.00	0.003578290489168246	0	0	427.999792070892	426.47374512483185	426.4737456513056
half_serum	BR:T-47D	magnitude_g1.25	ordinal	0.14931555825212528	0	1	244.9176562864666	213.09870429226282	213.09870460536152
half_serum	BR:T-47D	magnitude_g2.00	magnitude_g0.50	0.014310336931353265	0	1	388.61617003593886	383.1334019641759	383.1334024473093
half_serum	BR:T-47D	magnitude_g2.00	magnitude_g0.80	0.008739209085511734	0	1	396.90016393771214	393.46162056844025	393.4616210619019
half_serum	BR:T-47D	magnitude_g2.00	magnitude_g1.00	0.005737726379722533	0	1	402.26727057436386	399.97233873524334	399.9723392352157
half_serum	BR:T-47D	magnitude_g2.00	magnitude_g1.25	0.0027095042210244272	0	1	408.7507387022848	407.6462195497302	407.6462200573764
half_serum	BR:T-47D	magnitude_g2.00	magnitude_g2.00	1.234481013345808e-09	1	1	426.4737456513056	426.47374512483185	426.4737456513056
half_serum	BR:T-47D	magnitude_g2.00	ordinal	0.21927459213694325	0	1	259.82583576085983	213.09870429226282	213.09870460536152
half_serum	BR:T-47D	ordinal	magnitude_g0.50	0.08554941758932416	0	0	415.9102413612276	383.1334019641759	383.1334024473093
half_serum	BR:T-47D	ordinal	magnitude_g0.80	0.09404267890993524	0	0	430.46380541494085	393.46162056844025	393.4616210619019
half_serum	BR:T-47D	ordinal	magnitude_g1.00	0.0995318524671726	0	0	439.78232654518956	399.97233873524334	399.9723392352157
half_serum	BR:T-47D	ordinal	magnitude_g1.25	0.10618110838342038	0	0	450.93054696983165	407.6462195497302	407.6462200573764
half_serum	BR:T-47D	ordinal	magnitude_g2.00	0.12745014395390797	0	0	480.8278853335539	426.47374512483185	426.4737456513056
half_serum	BR:T-47D	ordinal	ordinal	1.46926673516453e-09	0	0	213.09870460536166	213.09870429226282	213.09870460536152
half_serum	CNS:SF-268	magnitude_g0.50	magnitude_g0.50	1.2672023565734586e-09	0	0	374.2487574719195	374.24875699767057	374.24875747191936
half_serum	CNS:SF-268	magnitude_g0.50	magnitude_g0.80	0.000693546401268399	0	0	384.80865523540626	384.5419575446145	384.5419580291565
half_serum	CNS:SF-268	magnitude_g0.50	magnitude_g1.00	0.0015437450307960046	0	0	391.60358275838075	390.9999784845539	390.99997897555386
half_serum	CNS:SF-268	magnitude_g0.50	magnitude_g1.25	0.0033304328029638165	0	0	399.76751831399815	398.4405388733039	398.4405393717445
half_serum	CNS:SF-268	magnitude_g0.50	magnitude_g2.00	0.010197310945952793	0	0	421.8603980099021	417.6019807604421	417.6019812780441
half_serum	CNS:SF-268	magnitude_g0.50	ordinal	0.12415672951166878	0	1	223.2233891103199	198.56963290811564	198.56963320668527
half_serum	CNS:SF-268	magnitude_g0.80	magnitude_g0.50	0.000680484284749176	0	1	374.5034273953944	374.24875699767057	374.24875747191936
half_serum	CNS:SF-268	magnitude_g0.80	magnitude_g0.80	1.2600491637709555e-09	1	1	384.54195802915626	384.5419575446145	384.5419580291565
half_serum	CNS:SF-268	magnitude_g0.80	magnitude_g1.00	3.480274730361074e-05	0	0	391.0135863580008	390.9999784845539	390.99997897555386
half_serum	CNS:SF-268	magnitude_g0.80	magnitude_g1.25	0.0009035710988697622	0	0	398.80055822884793	398.4405388733039	398.4405393717445
half_serum	CNS:SF-268	magnitude_g0.80	magnitude_g2.00	0.005574677742717068	0	0	419.9299772279019	417.6019807604421	417.6019812780441
