panel	arm	metabolite_id	eligible_pairs	point_C	interval_C
primary	uniform_pfba	core_073	924	0.5	0.5
primary	uniform_pfba	core_074	849	0.5	0.5
primary	uniform_pfba	core_075	1025	0.5	0.5
primary	uniform_pfba	core_076	885	0.5	0.5
primary	uniform_pfba	core_077	642	0.5	0.5
primary	uniform_pfba	core_078	911	0.5	0.5
primary	uniform_pfba	core_080	870	0.5	0.5
primary	uniform_pfba	core_081	988	0.5	0.5
primary	uniform_pfba	core_085	863	0.5	0.5
primary	uniform_pfba	core_088	713	0.5	0.5
primary	uniform_pfba	core_091	779	0.5	0.5
primary	uniform_pfba	core_092	1024	0.5	0.5
primary	uniform_pfba	core_094	935	0.5	0.5
primary	uniform_pfba	core_095	913	0.5	0.5
primary	uniform_pfba	core_096	920	0.5	0.5
primary	uniform_pfba	core_098	880	0.5	0.5
primary	uniform_pfba	core_099	500	0.5	0.5
primary	uniform_pfba	core_102	876	0.5	0.5
primary	uniform_pfba	core_103	912	0.5	0.5
primary	uniform_pfba	core_104	888	0.5	0.5
primary	uniform_pfba	core_110	958	0.5	0.5
primary	uniform_pfba	core_111	1004	0.5	0.5
primary	uniform_pfba	core_112	731	0.5	0.5
primary	uniform_pfba	core_113	977	0.5	0.5
primary	uniform_pfba	core_114	869	0.5	0.5
primary	uniform_pfba	core_115	915	0.5	0.5
broader_chemistry	magnitude_g0.50	core_001	767	0.5	0.5
broader_chemistry	magnitude_g0.50	core_002	819	0.5	0.5
broader_chemistry	magnitude_g0.50	core_004	317	0.5	0.5
broader_chemistry	magnitude_g0.50	core_005	495	0.5	0.5
broader_chemistry	magnitude_g0.50	core_006	952	0.5	0.5
broader_chemistry	magnitude_g0.50	core_007	732	0.5	0.5
broader_chemistry	magnitude_g0.50	core_011	594	0.5	0.5
broader_chemistry	magnitude_g0.50	core_012	742	0.5	0.5
broader_chemistry	magnitude_g0.50	core_013	537	0.5	0.5
broader_chemistry	magnitude_g0.50	core_014	840	0.5	0.5
broader_chemistry	magnitude_g0.50	core_015	514	0.5	0.5
broader_chemistry	magnitude_g0.50	core_016	1000	0.5865	0.5865
broader_chemistry	magnitude_g0.50	core_017	705	0.5	0.5
broader_chemistry	magnitude_g0.50	core_018	1023	0.5	0.5
broader_chemistry	magnitude_g0.50	core_019	319	0.5	0.5
broader_chemistry	magnitude_g0.50	core_021	410	0.552439024390244	0.552439024390244
broader_chemistry	magnitude_g0.50	core_022	724	0.505524861878453	0.505524861878453
broader_chemistry	magnitude_g0.50	core_023	292	0.5	0.5
broader_chemistry	magnitude_g0.50	core_024	923	0.5	0.5
broader_chemistry	magnitude_g0.50	core_026	957	0.4670846394984326	0.4670846394984326
broader_chemistry	magnitude_g0.50	core_027	971	0.5	0.5
broader_chemistry	magnitude_g0.50	core_028	960	0.4239583333333333	0.4239583333333333
broader_chemistry	magnitude_g0.50	core_029	642	0.5	0.5
broader_chemistry	magnitude_g0.50	core_030	957	0.5	0.5
broader_chemistry	magnitude_g0.50	core_032	950	0.5	0.5
broader_chemistry	magnitude_g0.50	core_034	919	0.5	0.5
broader_chemistry	magnitude_g0.50	core_035	920	0.5	0.5
broader_chemistry	magnitude_g0.50	core_037	410	0.5	0.5
broader_chemistry	magnitude_g0.50	core_038	650	0.5	0.5
broader_chemistry	magnitude_g0.50	core_039	984	0.5	0.5
broader_chemistry	magnitude_g0.50	core_040	232	0.5	0.5
broader_chemistry	magnitude_g0.50	core_041	939	0.5	0.5
broader_chemistry	magnitude_g0.50	core_042	695	0.5	0.5
broader_chemistry	magnitude_g0.50	core_043	283	0.5	0.5
broader_chemistry	magnitude_g0.50	core_044	918	0.5196078431372549	0.5196078431372549
broader_chemistry	magnitude_g0.50	core_045	904	0.5	0.5
broader_chemistry	magnitude_g0.50	core_048	703	0.5	0.5
broader_chemistry	magnitude_g0.50	core_049	748	0.5	0.5
broader_chemistry	magnitude_g0.50	core_050	1027	0.5574488802336903	0.5574488802336903
broader_chemistry	magnitude_g0.50	core_051	919	0.5478781284004353	0.5478781284004353
broader_chemistry	magnitude_g0.50	core_052	818	0.3856968215158924	0.3856968215158924
broader_chemistry	magnitude_g0.50	core_053	898	0.5	0.5
broader_chemistry	magnitude_g0.50	core_054	242	0.5	0.5
broader_chemistry	magnitude_g0.50	core_056	797	0.5	0.5
broader_chemistry	magnitude_g0.50	core_057	685	0.5	0.5
broader_chemistry	magnitude_g0.50	core_058	566	0.5	0.5
broader_chemistry	magnitude_g0.50	core_060	717	0.5	0.5
broader_chemistry	magnitude_g0.50	core_062	940	0.5	0.5
broader_chemistry	magnitude_g0.50	core_063	1026	0.5	0.5
broader_chemistry	magnitude_g0.50	core_064	691	0.5	0.5
broader_chemistry	magnitude_g0.50	core_065	727	0.5	0.5
broader_chemistry	magnitude_g0.50	core_066	646	0.5	0.5
broader_chemistry	magnitude_g0.50	core_067	869	0.5	0.5
broader_chemistry	magnitude_g0.50	core_069	753	0.5	0.5
