context	arm	exchange_id	point_glpk	point_second	abs_diff	width_glpk	width_second	fixed_glpk	fixed_second	rel_diff_primary_optimum
LE:K-562	ordinal	EX_tchola_e	0.0	0.0	0.0	3.518615857028009e-10	3.4719190485551127e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_thr__L_e	-1.0272564007096077	-1.0272564007096083	6.661338147750939e-16	1.416276607102418e-07	1.4163274286715932e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_thym_e	0.0	0.0	0.0	7.637049400442314e-10	7.635254206661557e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_thymd_e	0.0	0.0	0.0	5.106313332430198e-10	5.105436004515518e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_trp__L_e	-0.04371324085544778	-0.04371317812479468	6.273065310258286e-08	1.2549051814358947e-07	1.2547585962613406e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_tyr__L_e	-6.584407081415429	-6.584407144145956	6.273052743921426e-08	3.5473761084148236e-07	3.5470498715994836e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_ump_e	0.0	0.0	0.0	4.021002660424355e-10	4.020287991401972e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_ura_e	0.0	0.0	0.0	1.1037492043395398e-09	1.1036737079805903e-09	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_urate_e	0.0	-0.0	0.0	4.694577497366424e-10	4.673177923062694e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_uri_e	0.0	0.0	0.0	6.213858160139914e-10	6.213961012413449e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_val__L_e	-1.1583927753222314	-1.1583926498609256	1.2546130578883208e-07	1.2548364036746307e-07	1.254775101600103e-07	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_xan_e	0.0	0.0	0.0	4.853753423383886e-10	4.830927602395008e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_xmp_e	0.0	0.0	0.0	3.5973823972508007e-10	3.5968392153584716e-10	True	True	6.51445353994283e-16
LE:K-562	ordinal	EX_xtsn_e	0.0	0.0	0.0	3.637369351342626e-10	3.563206119050477e-10	True	True	6.51445353994283e-16
CO:SW-620	ordinal	EX_2pg_e	0.0	0.0	0.0	1.9435988774626403e-10	1.7130830087808135e-10	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_34hpp_e	0.0	-0.0	0.0	3.2201106578703127e-09	3.2123654847282523e-09	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_3hanthrn_e	0.0	0.0	0.0	2.084750102511882e-10	6.561418075534675e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_3pg_e	0.0	0.0	0.0	1.716486036248897e-10	1.7121237760875374e-10	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_4abut_e	0.0	0.0	0.0	6.859535106227118e-10	6.835902462877097e-10	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_4hbz_e	0.0	-0.0	0.0	1.6252656127573324e-10	1.2512407447000533e-10	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_L2aadp_e	0.0	0.0	0.0	2.362661449181844e-10	2.3610568040974165e-10	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_Lkynr_e	0.0	0.0	0.0	1.45736993635309e-10	1.3799550391269122e-10	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_acac_e	0.02872270527168794	0.028722705271687955	1.3877787807814457e-17	1.1581423844247984e-08	1.1577636637588595e-08	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_ade_e	0.0	0.0	0.0	2.8902835419170367e-11	2.607700543279582e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_adn_e	0.0	0.0	0.0	2.1095389910903547e-11	1.962123422624173e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_ahcys_e	0.0	0.0	0.0	1.9183474188986272e-11	1.893152301590817e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_akg_e	0.0	0.0	0.0	1.925756327084598e-09	1.9216557234358334e-09	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_ala__L_e	13.052117326266483	13.052117326266444	3.907985046680551e-14	2.688176081733218e-08	2.6885894399697463e-08	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_amp_e	0.0	0.0	0.0	2.1248311264043815e-11	1.6501161548276855e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_anth_e	0.0	0.0	0.0	1.1910520566181977e-10	1.192272947037054e-10	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_arg__L_e	-10.0	-10.0	0.0	1.4186024799300867e-08	1.420351836145528e-08	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_asn__L_e	-10.0	-10.0	0.0	2.7642036215524968e-08	2.7619210030138674e-08	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_asp__L_e	-2.1263901968943237	-2.12639019689438	5.639932965095795e-14	2.685503952548629e-08	2.6813646414325376e-08	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_bilirub_e	0.0	-0.0	0.0	9.397928108992965e-11	1.3361600020855846e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_cala_e	0.0	-0.0	0.0	7.100059203294406e-11	6.791028850372527e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_chol_e	-2.2595698547931384	-2.25956985479314	1.7763568394002505e-15	2.321198788735046e-09	2.3218844624750545e-09	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_cholp_e	0.0	0.0	0.0	1.6665981906781762e-10	1.6632228927448978e-10	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_cit_e	0.0	0.0	0.0	1.1610019527598715e-08	1.1625367335454939e-08	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_citr__L_e	0.0	-0.0	0.0	7.467696104406729e-10	7.455440709236427e-10	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_cmp_e	0.0	0.0	0.0	3.995920651700701e-11	0.0	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_crn_e	1.5611634539757076e-16	0.0	1.5611634539757076e-16	5.4342289166537905e-09	5.419169642163149e-09	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_cyst__L_e	0.0	0.0	0.0	8.088685241060135e-11	8.100486947881791e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_cytd_e	0.0	0.0	0.0	3.96114372087991e-11	3.758307554058149e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_dad_2_e	0.0	0.0	0.0	2.2221791020593174e-11	1.9663048966833685e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_dcmp_e	0.0	0.0	0.0	3.295872368239136e-11	3.29598570658618e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_dcyt_e	0.0	0.0	0.0	3.8247080710845496e-11	3.836214679253658e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_dhap_e	0.0	0.0	0.0	9.74672396572723e-11	9.764633546183177e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_dmgly_e	0.0	0.0	0.0	1.4447143787109055e-10	1.014202055671376e-10	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_duri_e	0.0	0.0	0.0	4.011735803058728e-11	3.835995410206294e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_ethamp_e	0.0	-0.0	0.0	1.6338462868362822e-09	1.634206436840202e-09	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_fol_e	0.0	-0.0	0.0	4.343812284194814e-09	4.348022936374969e-09	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_fum_e	16.208520767074873	16.208520767075406	5.329070518200751e-13	3.118823599379539e-08	3.116266356073538e-08	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_g3pc_e	0.0	0.0	0.0	1.0296396293811932e-10	9.646317078448874e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_glc__D_e	-10.0	-10.0	0.0	1.0576606257473031e-10	1.0575362807685451e-10	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_glcur_e	0.0	0.0	0.0	1.3378110662419634e-10	1.3358203432289883e-10	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_gln__L_e	-10.0	-10.0	0.0	8.836707543480316e-08	8.826973996178822e-08	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_glu__L_e	-10.0	-10.0	0.0	1.6758860965637723e-09	1.6750227871398238e-09	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_gly_e	-10.0	-10.0	0.0	5.277225767486016e-09	5.268526948043473e-09	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_glyald_e	0.0	0.0	0.0	2.405666717316727e-10	2.0695622993116558e-10	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_glyb_e	0.0	0.0	0.0	5.330273438031516e-10	5.327836686668408e-10	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_glyc3p_e	0.0	0.0	0.0	9.833675372238616e-11	9.239997655896559e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_gmp_e	0.0	-0.0	0.0	2.56552408471211e-11	0.0	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_gthox_e	0.0	-0.0	0.0	2.2560044242497607e-10	2.2505686203544428e-10	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_hcys__L_e	0.0	0.0	0.0	1.380013802483026e-10	1.2583445396785464e-10	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_hom__L_e	0.0	-0.0	0.0	2.012496930122044e-17	0.0	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_hxan_e	0.0	0.0	0.0	3.4975114086201586e-11	3.079669852468214e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_icit_e	0.0	-0.0	0.0	1.9789263835078508e-09	1.9837731457528207e-09	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_ile__L_e	-0.9398300444600183	-0.9398300444600189	6.661338147750939e-16	2.2793444132140905e-08	2.277662858318763e-08	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_imp_e	0.0	0.0	0.0	2.2457525695442877e-11	2.242334096180798e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_ins_e	0.0	0.0	0.0	2.4207168272671552e-11	2.2176926961492427e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_lac__L_e	16.02518890032638	16.025188900326324	5.684341886080802e-14	3.8115672396088485e-08	3.8090377074695425e-08	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_lcts_e	0.0	0.0	0.0	5.68382875876988e-11	3.170745610514558e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_leu__L_e	-1.7922337326704478	-1.7922337326704487	8.881784197001252e-16	1.5929844776607638e-08	1.5929479957321746e-08	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_lys__L_e	-10.0	-10.0	0.0	1.419661721513421e-08	1.4224319500044658e-08	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_mal__L_e	0.0	-0.0	0.0	2.1848057396220956e-09	2.1824622109534175e-09	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_met__L_e	-3.191046958856994	-3.1910469740946565	1.5237662687184184e-08	8.269994378196088e-08	8.284827668347816e-08	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_nac_e	0.0	-0.0	0.0	4.3103388863094745e-10	4.3086600953756715e-10	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_ncam_e	0.0	0.0	0.0	2.9733206967073e-09	2.9691706794664997e-09	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_nicrnt_e	0.0	0.0	0.0	5.146752610546377e-11	5.130240676720632e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_orn_e	0.0	0.0	0.0	1.4371109410785753e-09	1.4336110476480462e-09	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_orot5p_e	0.0	0.0	0.0	3.4028368145204195e-11	3.3193614523696624e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_orot_e	0.0	0.0	0.0	8.170651267407148e-11	8.163575371256115e-11	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_oxa_e	0.0	-0.0	0.0	2.3631998232527944e-10	2.0404833378506737e-10	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_pep_e	0.0	0.0	0.0	2.2578433184834555e-10	1.956728112872952e-10	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_phe__L_e	-9.373980505231089	-9.37398050523053	5.577760475716786e-13	3.353962085839157e-08	3.345897958695332e-08	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_pnto__R_e	0.0	0.0	0.0	2.0289256697487272e-09	2.02789161365056e-09	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_pro__L_e	-1.3551019514225007	-1.3551019514225016	8.881784197001252e-16	2.360899298281538e-08	2.3570557949881277e-08	True	True	2.9261285125009955e-15
CO:SW-620	ordinal	EX_quln_e	0.0	0.0	0.0	1.457091845929006e-10	4.291533794997804e-11	True	True	2.9261285125009955e-15
