variant	core_label	replicate	context_id	origin_group	partition	culture_volume_mL	duration_days	growth_time_series_available	assays_screened	flagged_assay_count	unresolved_assay_count	status	flagged_assays	in_human1_11_line_subset
all_reported_assays	HCC-2998	1	CO:HCC-2998	CO:HCC-2998	test	25	4_or_5_not_resolved_per_culture	False	140	15	28	screen_positive	anthranilate; bilirubin; choline; 2'-deoxycytidine; 2'-deoxyuridine; glutamine; glutathione oxidized; guanidinoacetate; hypoxanthine; niacin; phenylalanine; taurine; thymidine; tryptophan; valine	False
calibrated_assays	HCC-2998	1	CO:HCC-2998	CO:HCC-2998	test	25	4_or_5_not_resolved_per_culture	False	115	15	3	screen_positive	anthranilate; bilirubin; choline; 2'-deoxycytidine; 2'-deoxyuridine; glutamine; glutathione oxidized; guanidinoacetate; hypoxanthine; niacin; phenylalanine; taurine; thymidine; tryptophan; valine	False
all_reported_assays	HCC-2998	2	CO:HCC-2998	CO:HCC-2998	test	25	4_or_5_not_resolved_per_culture	False	140	15	28	screen_positive	anthranilate; bilirubin; choline; 2'-deoxycytidine; 2'-deoxyuridine; glutamine; glutathione oxidized; guanidinoacetate; hypoxanthine; niacin; phenylalanine; taurine; thymidine; tryptophan; valine	False
calibrated_assays	HCC-2998	2	CO:HCC-2998	CO:HCC-2998	test	25	4_or_5_not_resolved_per_culture	False	115	15	3	screen_positive	anthranilate; bilirubin; choline; 2'-deoxycytidine; 2'-deoxyuridine; glutamine; glutathione oxidized; guanidinoacetate; hypoxanthine; niacin; phenylalanine; taurine; thymidine; tryptophan; valine	False
all_reported_assays	NCI/ADR-RES	1	OV:NCI/ADR-RES	OVCAR-8_ADR-RES	test	35	4_or_5_not_resolved_per_culture	False	140	9	28	screen_positive	cytidine; dCMP; 2'-deoxycytidine; 2'-deoxyuridine; hypoxanthine; IMP; niacin; thymidine; UDP-glucuronate	False
calibrated_assays	NCI/ADR-RES	1	OV:NCI/ADR-RES	OVCAR-8_ADR-RES	test	35	4_or_5_not_resolved_per_culture	False	115	9	3	screen_positive	cytidine; dCMP; 2'-deoxycytidine; 2'-deoxyuridine; hypoxanthine; IMP; niacin; thymidine; UDP-glucuronate	False
all_reported_assays	NCI/ADR-RES	2	OV:NCI/ADR-RES	OVCAR-8_ADR-RES	test	35	4_or_5_not_resolved_per_culture	False	140	8	28	screen_positive	cytidine; dCMP; 2'-deoxycytidine; 2'-deoxyuridine; hypoxanthine; IMP; thymidine; UDP-glucuronate	False
calibrated_assays	NCI/ADR-RES	2	OV:NCI/ADR-RES	OVCAR-8_ADR-RES	test	35	4_or_5_not_resolved_per_culture	False	115	8	3	screen_positive	cytidine; dCMP; 2'-deoxycytidine; 2'-deoxyuridine; hypoxanthine; IMP; thymidine; UDP-glucuronate	False
all_reported_assays	HT29	1	CO:HT29	CO:HT29	development	35	4_or_5_not_resolved_per_culture	False	140	11	28	screen_positive	3-phosphoglycerate; AMP; bilirubin; cytidine; dCMP; hypoxanthine; IMP; niacin; PEP; UDP-glucuronate; uridine	True
calibrated_assays	HT29	1	CO:HT29	CO:HT29	development	35	4_or_5_not_resolved_per_culture	False	115	11	3	screen_positive	3-phosphoglycerate; AMP; bilirubin; cytidine; dCMP; hypoxanthine; IMP; niacin; PEP; UDP-glucuronate; uridine	True
all_reported_assays	HT29	2	CO:HT29	CO:HT29	development	35	4_or_5_not_resolved_per_culture	False	140	9	28	screen_positive	2-phosphoglycerate; bilirubin; cytidine; hypoxanthine; IMP; OMP; PEP; UDP-glucuronate; uridine	True
calibrated_assays	HT29	2	CO:HT29	CO:HT29	development	35	4_or_5_not_resolved_per_culture	False	115	9	3	screen_positive	2-phosphoglycerate; bilirubin; cytidine; hypoxanthine; IMP; OMP; PEP; UDP-glucuronate; uridine	True
all_reported_assays	M14	1	ME:M14	M14_MDA-MB-435	test	35	4_or_5_not_resolved_per_culture	False	140	5	28	screen_positive	2'-deoxyuridine; hypoxanthine; IMP; thymidine; UDP-glucuronate	False
calibrated_assays	M14	1	ME:M14	M14_MDA-MB-435	test	35	4_or_5_not_resolved_per_culture	False	115	5	3	screen_positive	2'-deoxyuridine; hypoxanthine; IMP; thymidine; UDP-glucuronate	False
all_reported_assays	M14	2	ME:M14	M14_MDA-MB-435	test	35	4_or_5_not_resolved_per_culture	False	140	5	28	screen_positive	2'-deoxyuridine; hypoxanthine; IMP; thymidine; UDP-glucuronate	False
calibrated_assays	M14	2	ME:M14	M14_MDA-MB-435	test	35	4_or_5_not_resolved_per_culture	False	115	5	3	screen_positive	2'-deoxyuridine; hypoxanthine; IMP; thymidine; UDP-glucuronate	False
all_reported_assays	HCT-116	1	CO:HCT-116	CO:HCT-116	test	35	4_or_5_not_resolved_per_culture	False	140	8	28	screen_positive	anthranilate; cytidine; dCMP; hypoxanthine; IMP; serine; taurine; UDP-glucuronate	False
calibrated_assays	HCT-116	1	CO:HCT-116	CO:HCT-116	test	35	4_or_5_not_resolved_per_culture	False	115	8	3	screen_positive	anthranilate; cytidine; dCMP; hypoxanthine; IMP; serine; taurine; UDP-glucuronate	False
all_reported_assays	HCT-116	2	CO:HCT-116	CO:HCT-116	test	35	4_or_5_not_resolved_per_culture	False	140	11	28	screen_positive	3-phosphoglycerate; 4-hydroxybenzoate; anthranilate; dCMP; hypoxanthine; nicotinic acid mononucleotide; OMP; PEP; serine; taurine; UDP-glucuronate	False
calibrated_assays	HCT-116	2	CO:HCT-116	CO:HCT-116	test	35	4_or_5_not_resolved_per_culture	False	115	11	3	screen_positive	3-phosphoglycerate; 4-hydroxybenzoate; anthranilate; dCMP; hypoxanthine; nicotinic acid mononucleotide; OMP; PEP; serine; taurine; UDP-glucuronate	False
all_reported_assays	HOP-62	1	LC:HOP-62	LC:HOP-62	development	35	4_or_5_not_resolved_per_culture	False	140	8	28	screen_positive	cytidine; dCMP; 2'-deoxycytidine; hypoxanthine; IMP; nicotinic acid mononucleotide; taurine; UDP-glucuronate	True
calibrated_assays	HOP-62	1	LC:HOP-62	LC:HOP-62	development	35	4_or_5_not_resolved_per_culture	False	115	8	3	screen_positive	cytidine; dCMP; 2'-deoxycytidine; hypoxanthine; IMP; nicotinic acid mononucleotide; taurine; UDP-glucuronate	True
all_reported_assays	HOP-62	2	LC:HOP-62	LC:HOP-62	development	35	4_or_5_not_resolved_per_culture	False	140	8	28	screen_positive	cytidine; dCMP; 2'-deoxycytidine; hypoxanthine; IMP; nicotinic acid mononucleotide; OMP; UDP-glucuronate	True
calibrated_assays	HOP-62	2	LC:HOP-62	LC:HOP-62	development	35	4_or_5_not_resolved_per_culture	False	115	8	3	screen_positive	cytidine; dCMP; 2'-deoxycytidine; hypoxanthine; IMP; nicotinic acid mononucleotide; OMP; UDP-glucuronate	True
all_reported_assays	786-O	1	RE:786-0	RE:786-0	development	35	4_or_5_not_resolved_per_culture	False	140	7	28	screen_positive	3-phosphoglycerate; 2'-deoxyuridine; glutathione oxidized; hypoxanthine; IMP; UDP-glucuronate; uridine	True
calibrated_assays	786-O	1	RE:786-0	RE:786-0	development	35	4_or_5_not_resolved_per_culture	False	115	7	3	screen_positive	3-phosphoglycerate; 2'-deoxyuridine; glutathione oxidized; hypoxanthine; IMP; UDP-glucuronate; uridine	True
all_reported_assays	786-O	2	RE:786-0	RE:786-0	development	35	4_or_5_not_resolved_per_culture	False	140	7	28	screen_positive	2'-deoxyuridine; glutathione oxidized; hypoxanthine; IMP; taurine; UDP-glucuronate; uridine	True
calibrated_assays	786-O	2	RE:786-0	RE:786-0	development	35	4_or_5_not_resolved_per_culture	False	115	7	3	screen_positive	2'-deoxyuridine; glutathione oxidized; hypoxanthine; IMP; taurine; UDP-glucuronate; uridine	True
all_reported_assays	NCI-H322M	1	LC:NCI-H322M	LC:NCI-H322M	test	35	4_or_5_not_resolved_per_culture	False	140	5	28	screen_positive	choline; glutamine; hypoxanthine; IMP; OMP	False
calibrated_assays	NCI-H322M	1	LC:NCI-H322M	LC:NCI-H322M	test	35	4_or_5_not_resolved_per_culture	False	115	5	3	screen_positive	choline; glutamine; hypoxanthine; IMP; OMP	False
all_reported_assays	NCI-H322M	2	LC:NCI-H322M	LC:NCI-H322M	test	35	4_or_5_not_resolved_per_culture	False	140	4	28	screen_positive	choline; glutamine; hypoxanthine; IMP	False
calibrated_assays	NCI-H322M	2	LC:NCI-H322M	LC:NCI-H322M	test	35	4_or_5_not_resolved_per_culture	False	115	4	3	screen_positive	choline; glutamine; hypoxanthine; IMP	False
