context	arm	exchange_id	point_glpk	point_second	abs_diff	width_glpk	width_second	fixed_glpk	fixed_second	rel_diff_primary_optimum
CNS:SNB-19	ordinal	EX_succ_e	12.8883729155464	12.888372915546299	1.0125233984581428e-13	2.268780718850394e-09	2.2519532905107553e-09	True	True	6.34238125659781e-15
CNS:SNB-19	ordinal	EX_taur_e	0.0	0.0	0.0	4.1009833765353466e-11	4.047784329941351e-11	True	True	6.34238125659781e-15
CNS:SNB-19	ordinal	EX_tchola_e	0.0	0.0	0.0	1.835288262291332e-11	8.854053293008394e-12	True	True	6.34238125659781e-15
CNS:SNB-19	ordinal	EX_thr__L_e	-1.0272564007096077	-1.0272564007096083	6.661338147750939e-16	3.821261973513401e-09	3.760387556894784e-09	True	True	6.34238125659781e-15
CNS:SNB-19	ordinal	EX_thym_e	0.0	0.0	0.0	1.9515763646076285e-11	1.9211134567785002e-11	True	True	6.34238125659781e-15
CNS:SNB-19	ordinal	EX_thymd_e	0.0	0.0	0.0	1.2810453088788774e-11	1.2300292728806284e-11	True	True	6.34238125659781e-15
CNS:SNB-19	ordinal	EX_ump_e	0.0	0.0	0.0	1.5596134268192118e-11	9.801215394844576e-12	True	True	6.34238125659781e-15
CNS:SNB-19	ordinal	EX_ura_e	0.0	0.0	0.0	2.8769596536207968e-11	2.851763269973162e-11	True	True	6.34238125659781e-15
CNS:SNB-19	ordinal	EX_urate_e	0.0	-0.0	0.0	1.3931725908184589e-11	1.1328905595688558e-11	True	True	6.34238125659781e-15
CNS:SNB-19	ordinal	EX_uri_e	0.0	0.0	0.0	1.5075869080378304e-11	1.4931222924730037e-11	True	True	6.34238125659781e-15
CNS:SNB-19	ordinal	EX_val__L_e	-1.1583926522693477	-1.1583926498609256	2.408422128397092e-09	2.4165982548396414e-09	2.3838495621930633e-09	True	True	6.34238125659781e-15
CNS:SNB-19	ordinal	EX_xan_e	0.0	0.0	0.0	1.3846053207000658e-11	1.1711881464648854e-11	True	True	6.34238125659781e-15
CNS:SNB-19	magnitude_g1.00	EX_4abut_e	0.0	0.0	0.0	2.0269132941785636e-08	2.0267959501195165e-08	True	True	2.305634197893093e-15
CNS:SNB-19	magnitude_g1.00	EX_L2aadp_e	0.0	0.0	0.0	5.904997474340132e-09	5.904891166069163e-09	True	True	2.305634197893093e-15
CNS:SNB-19	magnitude_g1.00	EX_Lkynr_e	0.0	-0.0	0.0	2.1366464413745987e-09	2.1368323200475066e-09	True	True	2.305634197893093e-15
CNS:SNB-19	magnitude_g1.00	EX_ala__L_e	11.272492613958127	11.272492611526554	2.4315731650403904e-09	2.1973358634852502e-06	2.19731525952227e-06	True	True	2.305634197893093e-15
