context	arm	exchange_id	B0_low	B0_high	B1_low	B1_high	B2_low	B2_high	B0_width	B1_width	B2_width	B0_fixed	B1_fixed	B2_fixed	B0_to_B1_width_contraction	B1_to_B2_width_contraction	first_fixed_stage	B0_B1_nesting_violation	B1_B2_nesting_violation	saved_point_containment_violation
RE:TK-10	magnitude_g1.25	EX_glu__L_e	-10.0	94.0889598066376	-3.76526169600928	-3.764572998647278	-3.764574539328561	-3.7645739151040987	104.0889598066376	0.0006886973620021664	6.242244623422266e-07	False	False	True	104.0882711092756	0.0006880731375398241	first_fixed_B2	0.0	0.0	0.0
RE:TK-10	magnitude_g1.25	EX_gly_e	-10.0	188.19826182691824	-0.8747339519243837	-0.8747312712064403	-0.8747317796687877	-0.8747316840840834	198.19826182691824	2.680717943404076e-06	9.558470426274113e-08	False	True	True	198.1982591462003	2.585133239141335e-06	first_fixed_B1	0.0	0.0	0.0
RE:TK-10	magnitude_g1.25	EX_glyald_e	0.0	84.77762866496474	0.0	7.39169127924079e-08	0.0	3.669815276000533e-09	84.77762866496474	7.39169127924079e-08	3.669815276000533e-09	False	True	True	84.77762859104783	7.024709751640736e-08	first_fixed_B1	0.0	0.0	0.0
RE:TK-10	magnitude_g1.25	EX_glyc3p_e	0.0	8.035839045971308	0.0	2.3940232344536702e-08	0.0	1.1783312888248747e-09	8.035839045971308	2.3940232344536702e-08	1.1783312888248747e-09	False	True	True	8.035839022031075	2.2761901055711826e-08	first_fixed_B1	0.0	0.0	0.0
RE:TK-10	magnitude_g1.25	EX_hom__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	True	True	0.0	0.0	already_fixed_B0	0.0	0.0	0.0
RE:TK-10	magnitude_g1.25	EX_hxan_e	0.0	16.096816823377978	0.0	6.207984989749485e-09	0.0	3.5551669937851435e-10	16.096816823377978	6.207984989749485e-09	3.5551669937851435e-10	False	True	True	16.096816817169994	5.8524682903709704e-09	first_fixed_B1	0.0	0.0	0.0
RE:TK-10	magnitude_g1.25	EX_icit_e	0.0	71.6171808732135	0.0	9.364795650536556e-07	0.0	4.7818403486130345e-08	71.6171808732135	9.364795650536556e-07	4.7818403486130345e-08	False	True	True	71.61717993673393	8.886611615675252e-07	first_fixed_B1	0.0	0.0	0.0
RE:TK-10	magnitude_g1.25	EX_ins_e	0.0	12.252800865556315	0.0	4.880308382299901e-09	0.0	2.398303517331827e-10	12.252800865556315	4.880308382299901e-09	2.398303517331827e-10	False	True	True	12.252800860676007	4.640478030566718e-09	first_fixed_B1	0.0	0.0	0.0
RE:TK-10	magnitude_g1.25	EX_lac__L_e	-0.5	129.98721809224827	14.18683910645214	14.187104292434231	14.18685016603999	14.186851850021446	130.48721809224827	0.0002651859820907987	1.683981455613548e-06	False	False	True	130.48695290626617	0.00026350200063518514	first_fixed_B2	0.0	0.0	0.0
RE:TK-10	magnitude_g1.25	EX_leu__L_e	-10.0	-0.8961168663352463	-0.8961174060630096	-0.8961168663353136	-0.8961168911009673	-0.8961168663352257	9.103883133664754	5.397276959806518e-07	2.476574156862199e-08	False	True	True	9.103882593937058	5.149619544120299e-07	first_fixed_B1	0.0	8.79296635503124e-14	8.948397578478762e-14
RE:TK-10	magnitude_g1.25	EX_lys__L_e	-10.0	-0.9726132854420797	-0.9726138921539266	-0.9726132854414076	-0.9726133129398571	-0.9726132854420816	9.02738671455792	6.067125190023503e-07	2.7497775501039712e-08	False	True	True	9.027386107845402	5.792147435013106e-07	first_fixed_B1	6.721290191080698e-13	0.0	0.0
RE:TK-10	magnitude_g1.25	EX_mal__L_e	0.0	97.41267453473013	0.0	5.564309574998586e-06	0.0	4.634511572428607e-07	97.41267453473013	5.564309574998586e-06	4.634511572428607e-07	False	True	True	97.41266897042055	5.100858417755725e-06	first_fixed_B1	0.0	0.0	0.0
