source_label	method	source_kegg	source_pdf_page	source_text
CTP	IPR	C00063	25	CTP                                     IPR      ko00240|Pyrimidine metabolism                           C00063
cystathionine	IPR	C02291	25	cystathionine                           IPR      ko00270|Cysteine and methionine metabolism              C02291        1   1
cytidine	IPR	C00475	25	cytidine                                IPR      ko00240|Pyrimidine metabolism                           C00475        1   1
dCDP	IPR	C00705	25	dCDP                                    IPR      ko00240|Pyrimidine metabolism                           C00705
dCMP	IPR	C00239	25	dCMP                                    IPR      ko00240|Pyrimidine metabolism                           C00239        1   1
dCTP	IPR	C00458	25	dCTP                                    IPR      ko00240|Pyrimidine metabolism                           C00458
dihydrofolate	IPR	C00415	25	dihydrofolate                           IPR      ko00790|Folate biosynthesis                             C00415
dihydroxyacetone phosphate	IPR	C00111	25	dihydroxyacetone phosphate              IPR      ko00010|Glycolysis / Gluconeogenesis                    C00111        1   1
dTMP	IPR	C00364	25	dTMP                                    IPR      ko00240|Pyrimidine metabolism                           C00364
dTTP	IPR	C00459	25	dTTP                                    IPR      ko00240|Pyrimidine metabolism                           C00459
dUMP	IPR	C00365	25	dUMP                                    IPR      ko00240|Pyrimidine metabolism                           C00365
dUTP	IPR	C00460	25	dUTP                                    IPR      ko00240|Pyrimidine metabolism                           C00460
erythrose-4-phosphate	IPR	C00279	25	erythrose-4-phosphate                   IPR      ko00030|Pentose phosphate pathway                       C00279
folate	IPR	C00504	25	folate                                  IPR      ko00670|One carbon pool by folate                       C00504        1
fructose-1,6-diphosphate/fructose-2,6-diphosphate/glucose-1,6-diphosphate	IPR	C00354/C00665/NA	25	fructose-1,6-diphosphate/fructose-2,6-diphosphate/glucose-1,6-diphosphate IPR      ko00010|Glycolysis / Gluconeogenesis               C00354/C00665/NA   1   1
fumarate	IPR	C00122	25	fumarate                                IPR      ko00020|Citrate cycle (TCA cycle)                       C00122        1   1
G1P	IPR	C00103	25	G1P                                     IPR      ko00500|Starch and sucrose metabolism                   C00103
GDP	IPR	C00035	25	GDP                                     IPR      ko00230|Purine metabolism                               C00035
geranyl pyrophosphate	IPR	C11356	25	geranyl pyrophosphate                   IPR      ko00900|Terpenoid backbone biosynthesis                 C11356
glucuronate	IPR	C00191	25	glucuronate                             IPR      ko00040|Pentose and glucuronate interconversions        C00191        1   1
glutathione oxidized	IPR	C00127	25	glutathione oxidized                    IPR      ko00480|Glutathione metabolism                          C00127        1   1
glutathione reduced	IPR	C00051	25	glutathione reduced                     IPR      ko00480|Glutathione metabolism                          C00051
glyceraldehyde	IPR	C00577	25	glyceraldehyde                          IPR      ko00010|Glycolysis / Gluconeogenesis                    C00577        1   1
glycocholate	IPR	C01921	26	glycocholate                        IPR    ko00120|Primary bile acid biosynthesis                  C01921       1
glycodeoxycholate/glycochenodeoxycholate	IPR	C05464/C05466	26	glycodeoxycholate/glycochenodeoxycholate IPR    ko00120|Primary bile acid biosynthesis               C05464/C05466   1
GMP	IPR	C00144	26	GMP                                 IPR    ko00230|Purine metabolism                               C00144       1   1
GTP	IPR	C00044	26	GTP                                 IPR    ko00230|Purine metabolism                               C00044
guanine	IPR	C00242	26	guanine                             IPR    ko00230|Purine metabolism                               C00242
guanosine	IPR	C00387	26	guanosine                           IPR    ko00230|Purine metabolism                               C00387
hippurate	IPR	C01586	26	hippurate                           IPR    ko00360|Phenylalanine metabolism                        C01586       1
homocystine	IPR	C00155	26	homocystine                         IPR    ko00270|Cysteine and methionine metabolism              C00155       1   1
homogentisate	IPR	C00544	26	homogentisate                       IPR    ko00350|Tyrosine metabolism                             C00544
homovanillate	IPR	C05582	26	homovanillate                       IPR    ko00350|Tyrosine metabolism                             C05582
hyodeoxycholate/ursodeoxycholate	IPR	C15517/C07880	26	hyodeoxycholate/ursodeoxycholate    IPR    ko00120|Primary bile acid biosynthesis               C15517/C07880   1
hypoxanthine	IPR	C00262	26	hypoxanthine                        IPR    ko00230|Purine metabolism                               C00262       1   1
IMP	IPR	C00130	26	IMP                                 IPR    ko00230|Purine metabolism                               C00130       1   1
inosine	IPR	C00294	26	inosine                             IPR    ko00230|Purine metabolism                               C00294       1   1
inositol	IPR	C00137	26	inositol                            IPR    ko00052|Galactose metabolism                            C00137
isocitrate	IPR	C00311	26	isocitrate                          IPR    ko00020|Citrate cycle (TCA cycle)                       C00311       1   1
kynurenate	IPR	C01717	26	kynurenate                          IPR    ko00380|Tryptophan metabolism                           C01717
kynurenine	IPR	C00328	26	kynurenine                          IPR    ko00380|Tryptophan metabolism                           C00328       1   1
lactose	IPR	C00243	26	lactose                             IPR    ko00052|Galactose metabolism                            C00243       1   1
lanosterol	IPR	C01724	26	lanosterol                          IPR    ko00100|Steroid biosynthesis                            C01724
