model_gene_id	entrez_id	measured
231_AT1	231	True
8574_AT1	8574	True
23600_AT1	23600	True
1119_AT2	1119	True
1119_AT1	1119	True
1120_AT1	1120	True
5224_AT2	5224	True
1120_AT2	1120	True
60482_AT1	60482	True
6582_AT2	6582	True
23600_AT2	23600	True
5224_AT1	5224	True
115286_AT1	115286	False
5223_AT1	5223	True
115286_AT2	115286	False
6584_AT1	6584	True
669_AT2	669	True
6582_AT1	6582	True
115286_AT3	115286	False
669_AT1	669	True
271_AT2	271	True
6820_AT1	6820	True
4597_AT1	4597	True
51071_AT1	51071	True
10948_AT1	10948	True
19_AT1	19	True
272_AT1	272	True
271_AT1	271	True
1806_AT1	1806	True
270_AT1	270	True
7083_AT1	7083	True
271_AT3	271	True
290_AT1	290	True
1118_AT1	1118	True
7084_AT1	7084	True
54682_AT1	54682	True
27159_AT1	27159	True
3704_AT1	3704	True
279_AT1	279	False
277_AT1	277	False
1854_AT1	1854	True
27159_AT2	27159	True
10682_AT1	10682	True
9058_AT1	9058	True
276_AT2	276	False
278_AT1	278	False
1892_AT1	1892	True
549_AT1	549	True
11136_AT1	11136	True
276_AT1	276	False
6519_AT1	6519	True
1962_AT1	1962	True
280_AT1	280	False
6576_AT1	6576	True
1891_AT1	1891	True
1160_AT1	1160	True
11001_AT1	11001	True
1159_AT1	1159	False
548596_AT1	548596	False
1152_AT1	1152	True
1158_AT1	1158	True
5172_AT1	5172	True
65010_AT3	65010	False
10998_AT1	10998	True
113451_AT1	113451	False
53919_AT1	53919	True
9057_AT1	9057	True
384_AT1	384	True
65010_AT1	65010	False
65010_AT2	65010	False
28231_AT1	28231	True
54675_AT1	54675	False
10257_AT1	10257	True
10559_AT1	10559	True
445_AT2	445	True
28232_AT1	28232	True
55907_AT1	55907	True
2108_AT1	2108	True
8034_AT1	8034	True
445_AT1	445	True
2109_AT1	2109	True
83884_AT1	83884	False
2109_AT2	2109	True
10166_AT1	10166	True
8824_AT1	8824	True
410_AT1	410	True
2110_AT1	2110	True
51805_AT1	51805	True
55500_AT1	55500	True
427_AT2	427	True
55224_AT1	55224	True
427_AT1	427	True
51004_AT1	51004	True
51086_AT1	51086	False
51004_AT2	51004	True
8790_AT1	8790	True
10229_AT1	10229	True
9962_AT2	9962	True
2181_AT1	2181	True
9245_AT1	9245	True
2650_AT1	2650	True
51301_AT1	51301	True
2182_AT1	2182	True
9963_AT2	9963	False
9963_AT1	9963	False
9962_AT1	9962	True
2180_AT1	2180	True
192134_AT1	192134	False
2181_AT2	2181	True
386757_AT1	386757	False
80150_AT1	80150	True
51703_AT1	51703	True
81616_AT1	81616	True
23305_AT1	23305	True
440_AT1	440	True
6535_AT1	6535	True
2182_AT2	2182	True
1384_AT1	1384	True
440_AT3	440	True
116285_AT1	116285	True
440_AT2	440	True
6583_AT1	6583	True
5167_AT1	5167	True
790_AT1	790	True
5169_AT1	5169	False
54898_AT1	54898	True
6511_AT1	6511	True
1431_AT2	1431	True
1431_AT1	1431	True
6785_AT1	6785	True
6505_AT1	6505	True
54677_AT1	54677	True
60481_AT1	60481	True
1384_AT2	1384	True
6507_AT1	6507	True
79071_AT1	79071	True
1384_AT3	1384	True
1579_AT1	1579	True
6512_AT1	6512	True
2194_AT1	2194	True
6506_AT1	6506	True
376497_AT2	376497	False
376497_AT1	376497	False
50617_AT1	50617	True
10999_AT1	10999	False
