arm	exchange_id	profiles	B0_low	B0_high	B0_width	B0_shared	B1_mean_width	B1_max_width	B1_location_spread	B1_exploration	B1_all_fixed	B1_constant_across_profiles	B2_mean_width	B2_max_width	B2_location_spread	B2_exploration	B2_all_fixed	B2_constant_across_profiles
magnitude_g1.00	EX_crn_e	11	-1.0	-3.3306690738754696e-16	0.9999999999999997	True	6.1544894949553095e-06	4.0911263105014584e-05	0.05743127061913589	0.05743127061913591	False	False	8.824031848707985e-08	4.79815732478078e-07	0.057445380419772936	0.05744538041977296	True	False
magnitude_g1.00	EX_cytd_e	11	0.0	10.81101713186418	10.81101713186418	True	1.2118530517072062e-08	1.287681485193937e-08	8.650920080607255e-10	8.001948359798362e-11	True	True	3.009258876120792e-10	1.000300249951794e-09	4.82128782668254e-10	4.459606129447682e-11	True	True
magnitude_g1.00	EX_dhap_e	11	0.0	6.071678091942327	6.071678091942327	True	3.437799229132782e-08	3.611489910598809e-08	1.8339446739297807e-09	3.0204906224583833e-10	True	True	8.344756713214197e-10	2.8617824437671597e-09	1.381156812878879e-09	2.2747530286755495e-10	True	True
magnitude_g1.00	EX_duri_e	11	0.0	10.811017131864169	10.811017131864169	True	1.221885176921001e-08	1.3057695933529147e-08	9.154855702501742e-10	8.468079914071091e-11	True	True	3.0192936602155624e-10	1.0038640157877093e-09	4.836989308020675e-10	4.474129722507083e-11	True	True
magnitude_g1.00	EX_fum_e	11	0.0	75.07460134290541	75.07460134290541	True	4.5744613803416264e-05	0.00011967086337705268	1.3822551736615747	0.018411755093418136	False	False	2.1884336808982012e-06	1.292896154048151e-05	1.3822461772306198	0.018411635260201654	False	False
magnitude_g1.00	EX_glcur_e	11	0.0	18.283735368672726	18.283735368672726	True	3.860611880358602e-08	4.5987237133267015e-08	7.592538540611856e-09	4.15261891922855e-10	True	True	9.924132657700008e-10	3.2670644472309296e-09	1.5738713728485987e-09	8.608040649862299e-11	True	True
magnitude_g1.00	EX_gln__L_e	11	-10.0	31.44223233881293	41.44223233881293	True	1.2826160578072177e-06	2.203123644406446e-06	6.515934689588221e-07	1.5722933640053194e-08	True	True	3.007972230891069e-08	8.099653392434902e-08	3.910804835527415e-08	9.436762005372793e-10	True	True
magnitude_g1.00	EX_glu__L_e	11	-10.0	65.07460134290554	75.07460134290554	True	7.099829524293e-07	8.150814103657922e-07	9.043806592501369e-08	1.2046426395517581e-09	True	True	1.7507872323624888e-08	6.018764153736811e-08	2.902117834935325e-08	3.865645348790882e-10	True	True
magnitude_g1.00	EX_gly_e	11	-10.0	136.67340860229442	146.67340860229442	True	2.273349089275779e-05	0.000153565378297138	1.3794398164058004	0.009404839156265587	False	False	5.117800911139366e-07	2.3734138823172657e-06	1.3794425111187483	0.009404857528463886	True	False
magnitude_g1.00	EX_glyald_e	11	0.0	58.40513229375357	58.40513229375357	True	8.247761860879818e-08	8.751645958414845e-08	5.293644137562723e-09	9.063662609199978e-11	True	True	2.0218219588237244e-09	6.8426596101701305e-09	3.2831084762272616e-09	5.62126708268477e-11	True	True
