arm	exchange_id	profiles	B0_low	B0_high	B0_width	B0_shared	B1_mean_width	B1_max_width	B1_location_spread	B1_exploration	B1_all_fixed	B1_constant_across_profiles	B2_mean_width	B2_max_width	B2_location_spread	B2_exploration	B2_all_fixed	B2_constant_across_profiles
magnitude_g1.25	EX_orn_e	47	0.0	75.0746013429061	75.0746013429061	True	8.114990892179102e-07	1.306928811453129e-06	4.280063877337213e-07	5.701081059075968e-09	True	True	3.799062077224629e-08	1.6309453034703105e-07	8.147096422640986e-08	1.0852000912304298e-09	True	True
magnitude_g1.25	EX_orot_e	47	0.0	16.576892935525226	16.576892935525226	True	2.4504408033445777e-08	2.6413636702180513e-08	1.5542952416838876e-09	9.37627604720149e-11	True	True	1.034770404043103e-09	3.2874738178394664e-09	1.642058920676718e-09	9.90570987617162e-11	True	True
magnitude_g1.25	EX_phe__L_e	47	-10.0	-0.8524036882104298	9.14759631178957	True	1.4379046527783343e-06	3.347091249494838e-06	1.198517313727443e-06	1.3101991745993146e-07	True	True	4.86603006612034e-08	1.4069051934573196e-07	7.027033133155669e-08	7.681835635990097e-09	True	True
magnitude_g1.25	EX_pro__L_e	47	-10.0	73.71949939148459	83.71949939148459	True	2.316971979577046e-06	3.05347535900502e-06	6.542976669354772e-07	7.81535570197196e-09	True	True	8.749935586012303e-08	2.5452911533996314e-07	7.546442759576166e-08	9.013960683505642e-10	True	True
magnitude_g1.25	EX_sbt__D_e	47	0.0	0.0	0.0	True	0.0	0.0	0.0	nan	True	True	0.0	0.0	1.4998659411666422e-26	nan	True	True
magnitude_g1.25	EX_ser__L_e	47	-10.0	57.234337439573	67.234337439573	True	9.875939710468629e-08	1.1243339059774371e-07	9.813362567001604e-09	1.4595760054631884e-10	True	True	4.243729679721602e-09	1.3912629270862453e-08	6.9499055399546705e-09	1.0336839485033838e-10	True	True
magnitude_g1.25	EX_sprm_e	47	0.0	3.3387831585263967	3.3387831585263967	True	5.1411898581131145e-09	5.69140727782047e-09	4.569653348499295e-10	1.3686583199719248e-10	True	True	2.3236388260328458e-10	7.364092935952245e-10	3.678284281259313e-10	1.1016840886674288e-10	True	True
magnitude_g1.25	EX_srtn_e	47	0.0	8.613908908977418	8.613908908977418	True	3.739145802823328e-08	4.624531155421367e-08	6.828871099637594e-09	7.92772615986285e-10	True	True	1.5166413737719239e-09	4.4565394267341335e-09	2.2260023018176416e-09	2.584195311721606e-10	True	True
magnitude_g1.25	EX_succ_e	47	0.0	115.44565627115206	115.44565627115206	True	3.3346005957372e-05	0.0006302193268137302	1.256598598700883	0.01088476292039483	False	False	7.56477589335793e-07	4.739246248774975e-06	1.2562979064959396	0.010882158299184683	True	False
magnitude_g1.25	EX_taur_e	47	0.0	16.909696464552507	16.909696464552507	True	3.1090356483341726e-08	3.70895937978388e-08	4.706299499520171e-09	2.7831957299682477e-10	True	True	1.2804124932824275e-09	3.8468740642223615e-09	1.921573768853042e-09	1.1363738981839223e-10	True	True
