scenario	context	arm_a	arm_b	relative_l1_full_vector	relative_l1_panel_exchanges	reactions_differing	panel_exchanges_differing	max_abs_difference_full	max_abs_difference_panel
half_serum	CO:COLO 205	magnitude_g1.25	magnitude_g2.00	0.25164947431767976	0.1693735647377176	89	6	7.0818108149545305	4.057679380023455
half_serum	CO:COLO 205	magnitude_g1.25	ordinal	0.5660022991444378	0.373316018233924	206	11	11.218042952606918	10.044550838080436
half_serum	CO:COLO 205	magnitude_g2.00	ordinal	0.5909806077252602	0.456822989675735	215	12	14.13095292337558	14.102230218103891
half_serum	CO:HCC-2998	magnitude_g0.50	magnitude_g0.80	0.12981046347100006	0.05642938058074487	108	9	9.6493995196601	1.0793654651118083
half_serum	CO:HCC-2998	magnitude_g0.50	magnitude_g1.00	0.1681560447328106	0.06434684526910078	123	8	10.2915089505661	1.3001540453659062
half_serum	CO:HCC-2998	magnitude_g0.50	magnitude_g1.25	0.20924390411917437	0.09638171944591462	118	9	9.848301977090149	3.260931772891753
half_serum	CO:HCC-2998	magnitude_g0.50	magnitude_g2.00	0.264214150214044	0.10844417297628024	135	9	6.104213402020436	2.026882215373162
half_serum	CO:HCC-2998	magnitude_g0.50	ordinal	0.518541471011046	0.2968468279691816	193	9	12.654018411996606	8.694958293944632
half_serum	CO:HCC-2998	magnitude_g0.80	magnitude_g1.00	0.05428853996561232	0.012531977053232283	81	6	3.010731148133028	0.22078858025409787
half_serum	CO:HCC-2998	magnitude_g0.80	magnitude_g1.25	0.11115649532651263	0.07253797551552066	74	6	3.460769750575253	2.345607758470178
half_serum	CO:HCC-2998	magnitude_g0.80	magnitude_g2.00	0.1966532296047527	0.05611750963314886	90	6	7.589099017837974	0.9475167502613537
half_serum	CO:HCC-2998	magnitude_g0.80	ordinal	0.5094107426334866	0.3217221633201685	192	10	12.510641368367217	9.151557872471052
half_serum	CO:HCC-2998	magnitude_g1.00	magnitude_g1.25	0.08856453912571309	0.06943074405480767	86	6	2.2025220684667888	2.1267116517606444
half_serum	CO:HCC-2998	magnitude_g1.00	magnitude_g2.00	0.167843263167304	0.043870586712242636	91	6	8.231208448743974	0.7267281700072559
half_serum	CO:HCC-2998	magnitude_g1.00	ordinal	0.5042362957164718	0.3255649878814828	193	9	12.44431068074504	9.217886063558357
half_serum	CO:HCC-2998	magnitude_g1.25	magnitude_g2.00	0.1442534278336837	0.09169339572028551	90	7	7.788001475268022	1.7574997142224982
half_serum	CO:HCC-2998	magnitude_g1.25	ordinal	0.5288664008865922	0.3894971389785975	202	10	12.520075764088553	9.142123476749708
half_serum	CO:HCC-2998	magnitude_g2.00	ordinal	0.559158791668457	0.35398431000128994	209	10	12.172602654557062	9.915708908057871
half_serum	CO:HCT-116	magnitude_g0.50	magnitude_g0.80	0.09803540159402878	0.045110393762699326	117	7	5.170685613625522	1.2318366552863091
half_serum	CO:HCT-116	magnitude_g0.50	magnitude_g1.00	0.10473919481972685	0.04000660286330632	126	7	6.019333666702954	1.08955980592288
half_serum	CO:HCT-116	magnitude_g0.50	magnitude_g1.25	0.13839558342607647	0.04782324902841293	127	7	5.279828356797118	1.1085961445558734
half_serum	CO:HCT-116	magnitude_g0.50	magnitude_g2.00	0.14434651610333285	0.05405511192409585	144	7	3.885555321505649	0.9429317547786367
half_serum	CO:HCT-116	magnitude_g0.50	ordinal	0.6680918323471439	0.4012590234067505	195	9	19.050502518942306	10.10011456236922
half_serum	CO:HCT-116	magnitude_g0.80	magnitude_g1.00	0.040925153699200904	0.017030506479257367	96	4	0.9218833591640836	0.5751154639078244
half_serum	CO:HCT-116	magnitude_g0.80	magnitude_g1.25	0.06960993621488398	0.02354615784071169	97	4	3.8021884443004548	0.5336350500401048
half_serum	CO:HCT-116	magnitude_g0.80	magnitude_g2.00	0.07292832143887133	0.019933768949605683	113	5	1.9869455424014628	0.7268364765935089
half_serum	CO:HCT-116	magnitude_g0.80	ordinal	0.6725004255081853	0.40706585356314523	180	6	19.050502518942306	10.85078478586891
half_serum	CO:HCT-116	magnitude_g1.00	magnitude_g1.25	0.04042212510982313	0.011208497815254872	74	4	3.5801525610182474	0.3116170567065182
half_serum	CO:HCT-116	magnitude_g1.00	magnitude_g2.00	0.06302128429739165	0.019574992622611	101	5	2.4482522391834105	0.5073030092733042
half_serum	CO:HCT-116	magnitude_g1.00	ordinal	0.6740883177991039	0.3976250993296963	186	6	19.050502518942306	10.275669321961086
half_serum	CO:HCT-116	magnitude_g1.25	magnitude_g2.00	0.05659960991561445	0.013099825537558006	98	5	3.1359113496450104	0.35149448091988056
half_serum	CO:HCT-116	magnitude_g1.25	ordinal	0.6776379938110735	0.39994459201703814	184	6	19.050502518942306	10.43147785031451
half_serum	CO:HCT-116	magnitude_g2.00	ordinal	0.665422084359646	0.40348186793790497	183	7	19.050502518942306	10.78297233123439
half_serum	CO:HCT-15	magnitude_g0.50	magnitude_g0.80	0.030458868772434963	0.010710117509411988	90	5	2.7989820056602133	0.3516006048191347
half_serum	CO:HCT-15	magnitude_g0.50	magnitude_g1.00	0.04596949055099148	0.011628414290522514	91	5	3.2469010456011125	0.5863800175880763
half_serum	CO:HCT-15	magnitude_g0.50	magnitude_g1.25	0.12380982158682134	0.07144219161928615	91	5	2.8426305614100036	1.2856751095831145
half_serum	CO:HCT-15	magnitude_g0.50	magnitude_g2.00	0.12798864561996232	0.07788530097849368	100	6	3.1486228435432553	1.3621732187962596
half_serum	CO:HCT-15	magnitude_g0.50	ordinal	0.5984566331832128	0.4093662218692409	171	8	14.97849801860201	9.609944467333385
half_serum	CO:HCT-15	magnitude_g0.80	magnitude_g1.00	0.03017761323736863	0.011571713259713767	85	5	0.8868739520778055	0.4253216871392187
half_serum	CO:HCT-15	magnitude_g0.80	magnitude_g1.25	0.1109190523290247	0.060652850477439194	81	5	3.8533853297195346	1.2792053311173346
half_serum	CO:HCT-15	magnitude_g0.80	magnitude_g2.00	0.12108535155268205	0.06708701561798276	104	6	4.448975823140879	1.3557034403304797
