scenario	context	arm_a	arm_b	relative_l1_full_vector	relative_l1_panel_exchanges	reactions_differing	panel_exchanges_differing	max_abs_difference_full	max_abs_difference_panel
half_serum	BR:MCF7	magnitude_g0.80	magnitude_g1.25	0.1214301334335405	0.07427639023875746	115	9	6.899128951354799	1.3998318272192716
half_serum	BR:MCF7	magnitude_g0.80	magnitude_g2.00	0.18092166705635926	0.15900062185303887	128	9	7.519793213155855	3.993226764689606
half_serum	BR:MCF7	magnitude_g0.80	ordinal	0.5255677320272943	0.30563268331954635	172	10	12.32992071568134	9.583278691699778
half_serum	BR:MCF7	magnitude_g1.00	magnitude_g1.25	0.10727282506733707	0.07863292951718438	80	6	5.393270774306626	1.4588649641312887
half_serum	BR:MCF7	magnitude_g1.00	magnitude_g2.00	0.1666847766473533	0.16360590148458673	93	6	6.013935036107682	4.052259901601623
half_serum	BR:MCF7	magnitude_g1.00	ordinal	0.524855673097672	0.30121723621423174	196	11	12.205483812069051	9.524245554787761
half_serum	BR:MCF7	magnitude_g1.25	magnitude_g2.00	0.09329560841378952	0.08545351295706799	81	5	2.8648085926636813	2.5933949374703342
half_serum	BR:MCF7	magnitude_g1.25	ordinal	0.519862622377691	0.3308263013946216	201	11	11.059608580637445	10.98311051891905
half_serum	BR:MCF7	magnitude_g2.00	ordinal	0.5468193878859124	0.40414174818338416	201	11	13.653003518107779	13.576505456389384
half_serum	BR:T-47D	magnitude_g0.50	magnitude_g0.80	0.03872115156494112	0.016327100273543414	97	8	1.8355999437847048	0.3291284700682644
half_serum	BR:T-47D	magnitude_g0.50	magnitude_g1.00	0.0654991870750813	0.05134106508054633	88	8	7.011300869780637	1.0097475831371006
half_serum	BR:T-47D	magnitude_g0.50	magnitude_g1.25	0.11755648711598392	0.08259846755404893	137	12	11.110028246895448	1.063195098447136
half_serum	BR:T-47D	magnitude_g0.50	magnitude_g2.00	0.2813409117331324	0.16116257580765822	140	12	7.985043652541518	3.8796052647919055
half_serum	BR:T-47D	magnitude_g0.50	ordinal	0.5957976768751326	0.33476422875476053	203	10	14.925922381535424	8.177423969879008
half_serum	BR:T-47D	magnitude_g0.80	magnitude_g1.00	0.06025605550634969	0.04199283239720351	84	10	6.434477209183287	0.783243347420517
half_serum	BR:T-47D	magnitude_g0.80	magnitude_g1.25	0.09637303194089414	0.07320046145321919	120	12	10.533204586298098	0.961412944409189
half_serum	BR:T-47D	magnitude_g0.80	magnitude_g2.00	0.2703719418341803	0.1537953991557439	126	12	8.087528504640687	3.8796052647919055
half_serum	BR:T-47D	magnitude_g0.80	ordinal	0.6084392166350265	0.338326153493824	205	11	15.835455097391495	8.177423969879008
